第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,罪種,"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減ポイント,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,富山県,72,86,-14,-16.3,57,69,-12,-17.4,40,25,15,60,79.2,80.2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,石川県,34,56,-22,-39.3,30,49,-19,-38.8,15,27,-12,-44.4,88.2,87.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,福井県,61,51,10,19.6,46,33,13,39.4,27,17,10,58.8,75.4,64.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,岐阜県,221,187,34,18.2,104,84,20,23.8,50,40,10,25,47.1,44.9,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,愛知県,510,613,-103,-16.8,304,287,17,5.9,193,203,-10,-4.9,59.6,46.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,三重県,185,198,-13,-6.6,69,112,-43,-38.4,24,22,2,9.1,37.3,56.6,-19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,計,1600,1594,6,0.4,821,921,-100,-10.9,563,657,-94,-14.3,51.3,57.8,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,滋賀県,142,138,4,2.9,48,69,-21,-30.4,30,40,-10,-25,33.8,50,-16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,京都府,137,108,29,26.9,104,100,4,4,67,73,-6,-8.2,75.9,92.6,-16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,大阪府,730,756,-26,-3.4,301,359,-58,-16.2,222,224,-2,-0.9,41.2,47.5,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,兵庫県,438,439,-1,-0.2,286,298,-12,-4,175,253,-78,-30.8,65.3,67.9,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,奈良県,95,91,4,4.4,46,58,-12,-20.7,48,39,9,23.1,48.4,63.7,-15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,和歌山県,58,62,-4,-6.5,36,37,-1,-2.7,21,28,-7,-25,62.1,59.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,計,525,528,-3,-0.6,330,333,-3,-0.9,230,226,4,1.8,62.9,63.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,鳥取県,47,37,10,27,33,25,8,32,23,16,7,43.8,70.2,67.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,島根県,49,39,10,25.6,29,26,3,11.5,20,15,5,33.3,59.2,66.7,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,岡山県,144,139,5,3.6,79,75,4,5.3,57,60,-3,-5,54.9,54,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,広島県,184,221,-37,-16.7,117,150,-33,-22,90,103,-13,-12.6,63.6,67.9,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,山口県,101,92,9,9.8,72,57,15,26.3,40,32,8,25,71.3,62,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,計,254,278,-24,-8.6,163,147,16,10.9,71,77,-6,-7.8,64.2,52.9,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,徳島県,25,43,-18,-41.9,26,22,4,18.2,13,7,6,85.7,104,51.2,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,香川県,104,89,15,16.9,61,51,10,19.6,22,22,0,0,58.7,57.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,愛媛県,82,73,9,12.3,57,39,18,46.2,27,19,8,42.1,69.5,53.4,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,高知県,43,73,-30,-41.1,19,35,-16,-45.7,9,29,-20,-69,44.2,47.9,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,計,1191,1172,19,1.6,746,719,27,3.8,479,477,2,0.4,62.6,61.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,福岡県,560,492,68,13.8,298,264,34,12.9,188,188,0,0,53.2,53.7,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,佐賀県,87,55,32,58.2,51,30,21,70,25,23,2,8.7,58.6,54.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,長崎県,105,101,4,4,67,67,0,0,42,43,-1,-2.3,63.8,66.3,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,熊本県,69,90,-21,-23.3,66,74,-8,-10.8,36,47,-11,-23.4,95.7,82.2,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,大分県,49,57,-8,-14,43,48,-5,-10.4,19,26,-7,-26.9,87.8,84.2,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,宮崎県,94,126,-32,-25.4,61,72,-11,-15.3,53,40,13,32.5,64.9,57.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,鹿児島県,94,78,16,20.5,60,40,20,50,33,15,18,120,63.8,51.3,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,沖縄県,133,173,-40,-23.1,100,124,-24,-19.4,83,95,-12,-12.6,75.2,71.7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第１０表,,,,刑法犯　都道府県別　身柄措置別　検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,検挙人員,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,総数,総数,総数,総数,現行犯逮捕,現行犯逮捕,現行犯逮捕,現行犯逮捕,緊急逮捕,緊急逮捕,緊急逮捕,緊急逮捕,通常逮捕,通常逮捕,通常逮捕,通常逮捕,身柄不拘束,身柄不拘束,身柄不拘束,身柄不拘束,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,都道府県,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数,,169409,175041,-5632,-3.2,22865,23400,-535,-2.3,2550,2645,-95,-3.6,32133,33161,-1028,-3.1,111861,115835,-3974,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,計,7588,7556,32,0.4,1092,1131,-39,-3.4,132,130,2,1.5,1113,1135,-22,-1.9,5251,5160,91,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,札幌方面,4921,4915,6,0.1,724,760,-36,-4.7,87,76,11,14.5,701,719,-18,-2.5,3409,3360,49,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,函館方面,637,644,-7,-1.1,101,112,-11,-9.8,7,12,-5,-41.7,103,95,8,8.4,426,425,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,旭川方面,866,819,47,5.7,142,126,16,12.7,17,15,2,13.3,118,114,4,3.5,589,564,25,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,釧路方面,830,832,-2,-0.2,96,92,4,4.3,16,23,-7,-30.4,138,139,-1,-0.7,580,578,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,北見方面,334,346,-12,-3.5,29,41,-12,-29.3,5,4,1,25,53,68,-15,-22.1,247,233,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,計,8975,9331,-356,-3.8,788,901,-113,-12.5,198,200,-2,-1,1566,1563,3,0.2,6423,6667,-244,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,青森県,1253,1264,-11,-0.9,83,91,-8,-8.8,66,78,-12,-15.4,156,157,-1,-0.6,948,938,10,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,岩手県,955,1057,-102,-9.6,89,128,-39,-30.5,20,32,-12,-37.5,176,209,-33,-15.8,670,688,-18,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,宮城県,2680,2602,78,3,321,336,-15,-4.5,91,62,29,46.8,623,564,59,10.5,1645,1640,5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,秋田県,861,1002,-141,-14.1,35,49,-14,-28.6,7,8,-1,-12.5,128,117,11,9.4,691,828,-137,-16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,山形県,1393,1402,-9,-0.6,57,70,-13,-18.6,2,5,-3,-60,140,168,-28,-16.7,1194,1159,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,福島県,1833,2004,-171,-8.5,203,227,-24,-10.6,12,15,-3,-20,343,348,-5,-1.4,1275,1414,-139,-9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都,,20911,21026,-115,-0.5,4275,4099,176,4.3,44,47,-3,-6.4,5241,5255,-14,-0.3,11351,11625,-274,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,計,44544,47465,-2921,-6.2,5414,5672,-258,-4.5,703,734,-31,-4.2,8037,8486,-449,-5.3,30390,32573,-2183,-6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,茨城県,3207,3107,100,3.2,368,395,-27,-6.8,35,43,-8,-18.6,622,596,26,4.4,2182,2073,109,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,栃木県,2009,1975,34,1.7,199,239,-40,-16.7,75,69,6,8.7,375,435,-60,-13.8,1360,1232,128,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,群馬県,2676,3036,-360,-11.9,297,359,-62,-17.3,21,34,-13,-38.2,585,667,-82,-12.3,1773,1976,-203,-10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,埼玉県,9573,10324,-751,-7.3,1551,1554,-3,-0.2,125,111,14,12.6,2101,2292,-191,-8.3,5796,6367,-571,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,千葉県,6700,7663,-963,-12.6,833,951,-118,-12.4,43,55,-12,-21.8,1278,1392,-114,-8.2,4546,5265,-719,-13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,神奈川県,10134,10564,-430,-4.1,985,933,52,5.6,136,125,11,8.8,1400,1354,46,3.4,7613,8152,-539,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,新潟県,2626,2629,-3,-0.1,222,194,28,14.4,19,24,-5,-20.8,430,410,20,4.9,1955,2001,-46,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,山梨県,839,867,-28,-3.2,95,103,-8,-7.8,9,8,1,12.5,188,187,1,0.5,547,569,-22,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,長野県,1762,1812,-50,-2.8,128,136,-8,-5.9,36,48,-12,-25,226,273,-47,-17.2,1372,1355,17,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,静岡県,5018,5488,-470,-8.6,736,808,-72,-8.9,204,217,-13,-6,832,880,-48,-5.5,3246,3583,-337,-9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,計,19936,21279,-1343,-6.3,2921,3075,-154,-5,481,547,-66,-12.1,3766,3990,-224,-5.6,12768,13667,-899,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,富山県,1681,1703,-22,-1.3,344,402,-58,-14.4,24,19,5,26.3,224,227,-3,-1.3,1089,1055,34,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,石川県,1282,1397,-115,-8.2,148,166,-18,-10.8,3,8,-5,-62.5,272,312,-40,-12.8,859,911,-52,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,福井県,1051,1100,-49,-4.5,120,153,-33,-21.6,7,11,-4,-36.4,180,234,-54,-23.1,744,702,42,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,岐阜県,2730,3015,-285,-9.5,212,203,9,4.4,23,28,-5,-17.9,456,476,-20,-4.2,2039,2308,-269,-11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,愛知県,11396,12218,-822,-6.7,1925,1972,-47,-2.4,417,472,-55,-11.7,2263,2340,-77,-3.3,6791,7434,-643,-8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,三重県,1796,1846,-50,-2.7,172,179,-7,-3.9,7,9,-2,-22.2,371,401,-30,-7.5,1246,1257,-11,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,計,33041,32838,203,0.6,4525,4380,145,3.3,450,418,32,7.7,6657,6460,197,3,21409,21580,-171,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,滋賀県,2146,1893,253,13.4,150,168,-18,-10.7,21,23,-2,-8.7,381,352,29,8.2,1594,1350,244,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,京都府,3436,3567,-131,-3.7,427,401,26,6.5,69,68,1,1.5,711,731,-20,-2.7,2229,2367,-138,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,大阪府,13869,13626,243,1.8,1809,1717,92,5.4,261,221,40,18.1,2695,2599,96,3.7,9104,9089,15,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,兵庫県,10159,10212,-53,-0.5,1663,1664,-1,-0.1,42,53,-11,-20.8,2182,2087,95,4.6,6272,6408,-136,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,奈良県,1991,2097,-106,-5.1,305,273,32,11.7,43,42,1,2.4,427,454,-27,-5.9,1216,1328,-112,-8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,和歌山県,1440,1443,-3,-0.2,171,157,14,8.9,14,11,3,27.3,261,237,24,10.1,994,1038,-44,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,計,9761,9973,-212,-2.1,1341,1439,-98,-6.8,99,108,-9,-8.3,2029,2121,-92,-4.3,6292,6305,-13,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,鳥取県,948,962,-14,-1.5,64,68,-4,-5.9,3,17,-14,-82.4,184,197,-13,-6.6,697,680,17,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,島根県,648,730,-82,-11.2,57,51,6,11.8,21,16,5,31.3,175,184,-9,-4.9,395,479,-84,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,岡山県,2700,2655,45,1.7,344,386,-42,-10.9,43,47,-4,-8.5,534,516,18,3.5,1779,1706,73,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,広島県,3958,4036,-78,-1.9,718,754,-36,-4.8,27,27,0,0,806,906,-100,-11,2407,2349,58,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,山口県,1507,1590,-83,-5.2,158,180,-22,-12.2,5,1,4,400,330,318,12,3.8,1014,1091,-77,-7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,計,4774,4939,-165,-3.3,473,453,20,4.4,48,46,2,4.3,905,937,-32,-3.4,3348,3503,-155,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,徳島県,636,703,-67,-9.5,45,44,1,2.3,3,2,1,50,89,117,-28,-23.9,499,540,-41,-7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,香川県,1435,1519,-84,-5.5,109,127,-18,-14.2,7,17,-10,-58.8,333,380,-47,-12.4,986,995,-9,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,愛媛県,1757,1788,-31,-1.7,125,112,13,11.6,15,7,8,114.3,191,187,4,2.1,1426,1482,-56,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,高知県,946,929,17,1.8,194,170,24,14.1,23,20,3,15,292,253,39,15.4,437,486,-49,-10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,計,19879,20634,-755,-3.7,2036,2250,-214,-9.5,395,415,-20,-4.8,2819,3214,-395,-12.3,14629,14755,-126,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,福岡県,8559,9108,-549,-6,885,1005,-120,-11.9,171,207,-36,-17.4,1050,1269,-219,-17.3,6453,6627,-174,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,佐賀県,1087,1203,-116,-9.6,81,105,-24,-22.9,13,16,-3,-18.8,140,200,-60,-30,853,882,-29,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,長崎県,1515,1579,-64,-4.1,121,148,-27,-18.2,42,58,-16,-27.6,202,233,-31,-13.3,1150,1140,10,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,熊本県,2150,2302,-152,-6.6,128,163,-35,-21.5,8,1,7,700,352,351,1,0.3,1662,1787,-125,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,大分県,1003,1149,-146,-12.7,79,119,-40,-33.6,8,6,2,33.3,158,216,-58,-26.9,758,808,-50,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,宮崎県,1224,1192,32,2.7,88,118,-30,-25.4,7,10,-3,-30,262,237,25,10.5,867,827,40,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,鹿児島県,1614,1618,-4,-0.2,142,133,9,6.8,9,6,3,50,281,291,-10,-3.4,1182,1188,-6,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,沖縄県,2727,2483,244,9.8,512,459,53,11.5,137,111,26,23.4,374,417,-43,-10.3,1704,1496,208,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第１１表,特別法犯　主要法令別　検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法令別,"2022年
1～12月","2021年
1～12月",増減,増減率（％),"2022年
1～12月","2021年
1～12月",増減,増減率（％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特別法犯総数　注）,67477,71005,-3528,-5,55639,58156,-2517,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公職選挙法,129,121,8,6.6,194,183,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入管法,4201,4831,-630,-13,3129,3528,-399,-11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
軽犯罪法,7888,8431,-543,-6.4,7820,8455,-635,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
迷惑防止条例,9800,8765,1035,11.8,7526,6702,824,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ストーカー規制法,1034,994,40,4,817,801,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DV法,52,75,-23,-30.7,43,65,-22,-33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
競馬法,2,2,0,0,11,5,6,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風営適正化法,874,936,-62,-6.6,959,926,33,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売春防止法,467,426,41,9.6,366,378,-12,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
児童福祉法,116,135,-19,-14.1,114,130,-16,-12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
児童買春・児童ポルノ法,3665,3596,69,1.9,2569,2529,40,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青少年保護育成条例,2276,2426,-150,-6.2,1772,1817,-45,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出資法,72,110,-38,-34.5,81,122,-41,-33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
貸金業法,55,88,-33,-37.5,72,81,-9,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
犯罪収益移転防止法,3066,2535,531,20.9,2554,2072,482,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宅地建物取引業法,16,4,12,300,18,6,12,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関税法,33,28,5,17.9,28,24,4,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外為法,2,2,0,0,4,3,1,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
著作権法,378,368,10,2.7,141,149,-8,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商標法,846,934,-88,-9.4,291,304,-13,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不正アクセス禁止法,522,429,93,21.7,164,139,25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不正競争防止法,70,75,-5,-6.7,82,77,5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銃刀法,5164,5252,-88,-1.7,4552,4521,31,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火薬類取締法,102,79,23,29.1,66,54,12,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麻薬等取締法,1063,938,125,13.3,647,526,121,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あへん法,3,16,-13,-81.3,3,15,-12,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大麻取締法,6493,6733,-240,-3.6,5184,5339,-155,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
覚醒剤取締法,8532,11299,-2767,-24.5,5944,7631,-1687,-22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
医薬品医療機器等法,317,215,102,47.4,179,140,39,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒物及び劇物取締法,165,204,-39,-19.1,127,165,-38,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
廃棄物処理法,5621,6183,-562,-9.1,6007,6651,-644,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
労働基準法,8,23,-15,-65.2,10,34,-24,-70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,4445,4752,-307,-6.5,4165,4584,-419,-9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注） 自動車の運転により人を死傷させる行為等の処罰に関する法律及び交通法令違反を除く。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,第１２表,,,来日外国人による　重要犯罪・重要窃盗犯　国籍別　検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
